,object_id,object_type,text,is_economic_labour_tension,economic_labour_tension_direction,is_political_tension,political_tension_direction,is_service_related_tension,service_related_tension_direction,is_community_insecurity_tension,community_insecurity_tension_direction,topics,matched_features,date,clean_text
647,100053742612367-36247bf148f34d08,facebook_post,السفارتان الاميركية والفرنسية: شيا وغريو الى السعودية للبحث في وضع لبنان !!!,0.0,,0.0,,0.0,,0.0,,['foreign countries'],[['السعودية']],2021-07-08 04:30:35,السفارتان الاميركية والفرنسية: شيا وغريو الى السعودية للبحث في وضع لبنان !!!
1578,100101538090752-b7ce8318a67fcb7f,facebook_post,وسائل إعلام أميركية: ‏فايزر ستطلب من السلطات الصحية في الولايات المتحدة السماح بإعطاء جرعة ثالثة من لقاحها لدعم المناعة ضد السلالة دلتا.,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-08 21:48:40,وسايل اعلام اميركية: ‏فايزر ستطلب من السلطات الصحية في الولايات المتحدة السماح باعطاء جرعة ثالثة من لقاحها لدعم المناعة ضد السلالة دلتا.
1645,100101538090752-e8645a1b0126bf2c,facebook_post,*رياض سلامة يتحدّث عن إمكان رفع سعر «دولار المنصّة» من 3900 ليرة إلى 6200 ليرة ( الاخبار)*,1.0,Neutral,0.0,,0.0,,0.0,,['economic collapse'],[['دولار']],2021-06-30 12:29:39,*رياض سلامة يتحدث عن امكان رفع سعر «دولار المنصة» من 3900 ليرة الى 6200 ليرة ( الاخبار)*
50,100044304410046-0fe6dba68fce9ad8,facebook_post,العثور على جثة متحللة عند مصب مجرى النهر الكبير بمنطقة العريضة الحدودية😢 عثر ​صيادو الأسماك​ في ​عكار​ بمنطقة ​العريضة​ الحدودية، على جثة رجل متحللة عند الضفة اللبنانية لمصب مجرى ​النهر الكبير​ في البحر، عملوا على سحبها الى البر، وأبلغوا ​القوى الأمنية​، في حين باشر مخفر العريضة تحقيقاته تمهيدا للتعرف على هوية الجثة كذلك، استمع إلى إفادة أحد الأشخاص السوريين من سكان بلدة تلمعيان، كان أبلغ بفقدان شقيقه منذ 15 يوما. وتولى عناصر ​الدفاع المدني​ في مركز العريضة نقل الجثة الى ​مستشفى​ الدكتور عبدالله الراسي الحكومي في حلبا، لمعاينتها من الطبيب الشرعي لتبيان مسببات الوفاة.,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-10 07:34:32,العثور على جثة متحللة عند مصب مجرى النهر الكبير بمنطقة العريضة الحدودية😢 عثر ​صيادو الاسماك​ في ​عكار​ بمنطقة ​العريضة​ الحدودية، على جثة رجل متحللة عند الضفة اللبنانية لمصب مجرى ​النهر الكبير​ في البحر، عملوا على سحبها الى البر، وابلغوا ​القوى الامنية​، في حين باشر مخفر العريضة تحقيقاته تمهيدا للتعرف على هوية الجثة كذلك، استمع الى افادة احد الاشخاص السوريين من سكان بلدة تلمعيان، كان ابلغ بفقدان شقيقه منذ 15 يوما. وتولى عناصر ​الدفاع المدني​ في مركز العريضة نقل الجثة الى ​مستشفى​ الدكتور عبدالله الراسي الحكومي في حلبا، لمعاينتها من الطبيب الشرعي لتبيان مسببات الوفاة.
1395,100101538090752-27879f1da7241355,facebook_post,‏الانكليز تاريخيا خسروا نهائي واحد باليورو ‏👇🏻 ‏سنة ٢٠٢١,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-11 22:22:29,‏الانكليز تاريخيا خسروا نهايي واحد باليورو ‏👇🏻 ‏سنة ٢٠٢١
496,100053742612367-0d9d536366c831ec,facebook_post,الرئيس عون: هذا ما ينتظره اللبنانيين من البابا,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-02 11:45:19,الرييس عون: هذا ما ينتظره اللبنانيين من البابا
1390,100101538090752-21d10cb5f872ad0f,facebook_post,بالصوره - ورقة علقت على واجهه لاحدى الصيدليات في ساحة القبة #طرابلس يطلب من خلالها عدم السوآل عن فقدان الدواء وغيره لان الصيدلية لا تملك الاجابة بحسب ما كتب على الورقة المعلقة,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-06-29 20:33:46,بالصوره - ورقة علقت على واجهه لاحدى الصيدليات في ساحة القبة #طرابلس يطلب من خلالها عدم السوال عن فقدان الدواء وغيره لان الصيدلية لا تملك الاجابة بحسب ما كتب على الورقة المعلقة
1070,100053742612367-aeadb8014ee13037,facebook_post,ارتفاع باصابات كورونا في قضاء صور بين مقيمين ووافدين,0.0,,0.0,,0.0,,0.0,,['covid / vaccination'],[['كورونا']],2021-07-06 18:24:25,ارتفاع باصابات كورونا في قضاء صور بين مقيمين ووافدين
259,100044627645008-2be9597d0c612b56,facebook_post,الله يرحموا ولا يرحم اي مسؤول !!! 😡,0.0,,0.0,,1.0,,0.0,,['other'],[None],2021-07-11 08:16:03,الله يرحموا ولا يرحم اي مسوول !!! 😡
1892,106447832755806-0bcacacc08200783,facebook_post,الأوضاع في مدينة طرابلس خطيرة جدا و تنذر بإنفجار إجتماعي كبير,0.0,,0.0,,0.0,,1.0,increase,['north lebanon'],[['طرابلس']],2021-06-30 10:52:03,الاوضاع في مدينة طرابلس خطيرة جدا و تنذر بانفجار اجتماعي كبير
