,object_id,is_sectarian_tension,is_environmental_tension,is_geopolitics_tension,is_intercommunity_relations_tension,sectarian_tension_features,environmental_tension_features,geopolitics_tension_features,intercommunity_relations_tension_features,sectarian_tension_direction,environmental_tension_direction,geopolitics_tension_direction,intercommunity_relations_tension_direction,economic_labour_tension_features,political_tension_features,service_related_tension_features,community_insecurity_tension_features,google_translated
0,100044142351096-13f3e41944a37145,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Very impressive # Pope_Furensis initiative on # Lebanon in # Vatican. The scenery was joyous and the political and spiritual conjugation alongside the Lebanese. But what the heart meets the survival of Lambalanism, complicated, criminal, is to be awakened dead pronouns, has become a miracle to return to life."
1,100044142351096-4bd15d4f32baaf10,0.0,0.0,0.0,0.0,,,,,,,,,عايشين جحيم,,,,"Oh, they formed a government now, working elections now! But what is in you, they leave the country, drowning and people who live your life poor and seek your envoys and their failed. And no one you have a minimum of feeling with a polarity? Your end will be on the image of your people ..."
2,100044142351096-4e9ffae9928ca38a,0.0,0.0,0.0,0.0,,,,,,,,,,,,,A meeting with a youth group of different areas sharing our vision for the future of Lebanon. ACQUAINTANCE MEETING WITH A GROUP OF YOUNG PEOPLE WHO Share Our Vision for The Future Of A New Lebanon.
3,100044142351096-7f5cec4ba3157a4c,0.0,0.0,0.0,0.0,,,,,,,,,العدالة في التوزيع,,,,This financial aid will be given automatically for all countries. We will not allow to go wonders under what the Lebanese suffer from difficult situations. We will follow this with the IMF to ensure that they are used to protect the Lebanese people and a mechanism believes at the highest level of transparency and justice in distribution. # Legislative session
4,100044142351096-92a3675f5851fcd3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Solidarity with the mark Mr. Ali al-Amin refused to inform him by Hezbollah. Each support has a free and open-up and locked and rejected the other opinion. We will not accept the intimidation and we will place the police and militias behind it.
5,100044142351096-b43d1c2980fc81da,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# I dropped
6,100044142351096-c9a7c1a195ccae2a,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interview with Egyptian and Turkish ambassadors https://kataeb.org/sl/7/329477
7,100044142351096-d1498642f4f20ca0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"My heart is today in Tripoli. We stand besides our good people who suffer as all Lebanese in all regions. Do not despair, change at ✊🏻🇱🇧"
8,100044142351096-f3420631ab25c79d,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"We bid farewell to a major ceasefire and written authentic. Founder's companion and an example of generations, I knew a vice president and a bigger brother advising me and listening to in difficult times. Thank you for everything I was given to Lebanon and Likes, Shaker Aoun, we will miss you so much."
9,100044160593201-282eaccd33d7a7b5,0.0,0.0,0.0,0.0,,,,,,,,,,,"انقطاع التيار الكهربائي, فقدان مادة المازوت",,"President Najib Miqati has affinited the living and social situation in Tripoli, especially after protests that have been established for power outages and generator subscriptions because of loss of diesel. Miqati held Energy Minister Raymond Gerry and stressed the need to secure the quantities of diesel to mitigate the suffering of citizens and secure the power of them. President Miqati from the Minister Gypsis reported that he will take advantage of fuel companies with two million liters of diesel, including all generator owners in all areas to secure their need and operate their generators. President Miqati thanked the Minister Gypsis to meet quickly, stressing the quest with all officials concerned to mitigate suffering from citizens."
10,100044160593201-69ca891db7b8833a,0.0,0.0,0.0,0.0,,,,,,,,,,,,,President Najib Miqati received the Special Representative of the Secretary-General of the United Nations in Lebanon and the President of the United Nations Special Coordinator Mission in Lebanon. Ms. Fronetska was involved in Lebanon early this month.
11,100044160593201-ce3a02fac5b43d2b,0.0,0.0,1.0,0.0,,,استخدام لبنان لمصالح خارجية,,,,,,,,,,"We value the Pope Francis initiative towards Lebanon and appreciates his speech that was a cry of the right to confuse the pronouns, especially his invitation to use Lebanon for external interests and gains, and not leave him hostage or those seeking their own interests. Do we all see and save our homeland?"
12,100044168752633-14e43179ae3f0e25,0.0,0.0,0.0,0.0,,,,,,,,,لبنان الحضيض,,,,"After a year of the famous speech ... The dollar became almost 19,000 days and after in Min later and honestly Haldjal corrupt followed by 30 years old ... No wonder with Hick Rulers Ano Lebanon arrived ... # Mafia_hkmen # Klen"
13,100044168752633-19646d78bac91ac3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Your corruption and your deficit and your failure.
14,100044168752633-1b3993e708580fc7,0.0,0.0,0.0,0.0,,,,,,,,,الحد الأدنى للأجور,,موتور يقطع,,"450 thousand Kamal Lira 5 Amp ""Motor Subscription"" and Kaman uncle cut hours in the text of the day and the text of the night (Lirih) and resorted with a fridge and how much ... 450 thousand means more than two thirds of the minimum limit of the Limendence Mavias. , Deposit ... Haida system cancer predator and general destroys our lives. # The state_deman_almanman_hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"
15,100044168752633-1f24d212402153f3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# Let us fall into the blood of the victims and martyrs. # كلن_عني_كلن
16,100044168752633-22e80d0818ba5e42,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Now from the front of the house of Nihad Al-Mashnouk: # Let it discover
17,100044168752633-41111b4e3079ad98,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11 months nor justice. The people of the victims from the deputies now. # Let us down
18,100044168752633-4d502396854d4100,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"""I wish but my son Jijini, but I will not come up with Shawky Elo."
19,100044168752633-56c92771434a8c57,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Min means ""lovers of Major General # Abbas_abrahim""? Public Security Forces?"
20,100044168752633-5964905a392694cf,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Ghazi Zaiter is a member of the parliamentary committee followed the uncle was taught today
21,100044168752633-60803bc523e0a27f,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"What is saying: ""Why do not the people do not pretend?"" You are the people ... and every day in moves."
22,100044168752633-678e743e5dac4346,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Kamel and we are all with you ... in the face of the ruling mavias ... sure we are all with you. We hope that the Lebanese people are defeated and the battle completes the end to courage even trial and prime ministers, deputies, heads and senior officials and security. # كلنا_ فضحاء_انفجب_بريوت # Follow_calls"
23,100044168752633-8c323ffc0a0ef269,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Today: After the guardian of the eye of the tina (in front of the headquarters of # Nabih_bury) on the people of the victims ... until the pictures of the victims were cracking. The crime authority is complementary to evolve even after murder ... # Mafias_hakin # Klen_e
24,100044168752633-947bde462dbb16ac,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Heck an advertising campaign on the country's scale costs (between printing, distribution and charm of advertising plates) tens of thousands of dollars. What mind thought Heck campaign is a great provocation to the people of victims and injured?!? Please let all inquiry and enough to manipulate the fate of the homeland !! # Let us fall into the blood of the martyrs and victims ❗️ # #"
25,100044168752633-b54291fb7f810545,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Now in front of the eye of the tina: sit-in for the people of the victims to pressure the deputies Communities to discuss the lifting of immunities for deputies and officials accused. # Let us fall into the blood of the victims and martyrs. # كلن_عني_كلن
26,100044168752633-c5ff6cc0fd2fec2c,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"His subsidies and employees are without compensation. Affiliate media. 3 times the head of failed and corrupt Governments and its financial policies have reached Lebanon for collapse. # Saad_الفاشل والعجلز: Even the government of what is selling and not knows how to apologize for the author ... is a specialist and successful with a single unit with life: ""Take the silver"" 🙃 # mavia_hkmen #"
27,100044168752633-ca6bf12c2bdbc96e,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"We have begun ministers, security, responsible for massacre of 4 August with imprisonment. Willy Rahn hurts justice is # criminal"
28,100044168752633-cc63e2f7fb80c9f3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The picture is a vehicle ... but its separation is for reality and suffering the daily people ... real # I go
29,100044168752633-d35bf0f1a73296ee,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The power in Lebanon is a mafia mafia criminal ... Kill us corruption and greed ... We will not relax before dropping them in the street and then tried them on their heinous crimes. # Corruption
30,100044168752633-d803cd6d73a3ec05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Direct in front of the Beirut port. # Let me down
31,100044168752633-dacceeee42d11c90,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Now in front of the eye of the tina: sit-in for the people of the victims to pressure the deputies Communities to discuss the lifting of immunities for deputies and officials accused. # Let us fall into the blood of the victims and martyrs. # كلن_عني_كلن
32,100044168752633-db12457eb4db1503,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Now in front of the House of Representatives: # Lettle_lis
